Id,Formula,Name,Melting_Pt,
496,C6H8N2O2S,p-aminobenzene sulphonamide,439.3,
497,C6H8N4O2 ,bis(2-cyanoethyl)-N-nitroamine,327.0,
498,C6H8O2 ,"1,4-cyclohexanedione",348.2,
499,C6H8O4   ,dimethyl maleate ,254.0,
500,C6H8O4   ,"DL 3,6-dimethyl-1,4-dioxane-2,5-dione",397.5,
501,C6H8O4   ,dimethyl fumarate,375.0,
502,C6H8S    ,"2,5-dimethylthiophene",210.6,
503,C6H9N ,"2,5-dimethylpyrrole",280.9,
504,C6H9N ,"2,4-dimethylpyrrole",268.5,
505,C6H9NO,N-vinylpyrrolidone,286.2,
506,C6H9NS ,"2,4,5-trimethylthiazole",240.7,
507,C6H10  ,cyclohexene,169.7,
508,C6H10O ,cyclohexanone,245.2,
509,C6H10O2 ,e-caprolactone,272.0,
510,C6H10O4 ,adipic acid,426.4,
511,C6H10O6 ,(d) dimethyl tartrate,322.2,
512,C6H10O6 ,(dl) dimethyl tartrate,360.2,
513,C6H11Br ,bromocyclohexane,216.9,
514,C6H11Cl ,chlorocyclohexane,229.3,
515,C6H11FO5,3-deoxy-3-fluoro-D-glucopyranose,378.2,
516,C6H11FO5,6-deoxy-6-fluoro-D-glucopyranose,412.2,
517,C6H11FO5,2-deoxy-2-fluoro-D-glucopyranose,427.2,
518,C6H11N2O3 ,N-dimethylaminosuccinamic acid,431.4,
519,C6H11N2O3PS3  ,"S-2,3-dihydro-5-methoxy-2-oxo-1,3,4-thiadiazol-3-ylmethyl-O,O-dimethyl phosphorodithioate",315.1,
520,C6H11NO ,e-caprolactam,343.3,
521,C6H11NO ,cyclohexanone oxime,273.4,
522,C6H11NO2,"5,5-dimethylperhydro-1,3-oxazine-2-one",440.1,
523,C6H12,4-methylpent-1-ene,118.9,
524,C6H12 ,cis-2-hexene,132.0,
525,C6H12  ,methylcyclopentane,130.7,
526,C6H12  ,1-hexene,133.4,
527,C6H12  ,"2,3-dimethyl-2-butene",198.9,
528,C6H12  ,cyclohexane,279.8,
529,C6H12  ,"3,3-dimethyl-1-butene",158.4,
530,C6H12N2O3 ,b-alanyl-b-alanine,480.1,
531,C6H12N2O3 ,a-alanyl-a-alanine (DL),483.2,
532,C6H12N2O4,"mono(2,2-dimethylhydrazide) butanedioic acid",431.4,
533,C6H12O ,hexanal,243.2,
534,C6H12O ,1-methylcyclopentanol,310.2,
535,C6H12O ,cyclohexanol,297.0,
536,C6H12O   ,2-hexanone,217.7,
537,C6H12O   ,"3,3-dimethyl-2-butanone",221.7,
538,C6H12O   ,3-hexanone,217.7,
539,C6H12O2 ,"2,2-dimethyl-1,3-dioxan",229.6,
540,C6H12O2 ,"cis-1,2-cyclohexanediol",371.6,
541,C6H12O2 ,"trans-1,2-cyclohexanediol",372.3,
542,C6H12O3 ,"2,4,6-trimethyl-1,3,5-trioxane",285.7,
543,C6H12O5,3-deoxy-D-glucopyranose,387.2,
544,C6H12O5,2-deoxy-D-glucopyranose,398.7,
545,C6H12O5,1-deoxy-D-glucopyranose,403.2,
546,C6H12O5,6-deoxy-D-glucopyranose,409.2,
547,C6H12O6,a-D-glucopyranose  (a-D-glucose),423.2,
548,C6H12O6  ,a-D-glucose,414.0,
549,C6H12O6  ,myo-inositol,496.9,
550,C6H12S   ,cyclopentyl methyl sulfide   ,169.9,
551,C6H12S   ,cyclohexanethiol  ,189.6,
552,C6H13Br ,1-bromohexane,188.1,
553,C6H13N ,2-methylpiperidine,269.4,
554,C6H13NO ,hexanamide,374.0,
555,C6H14  ,3-methylpentane,110.3,
556,C6H14  ,2-methylpentane,119.6,
557,C6H14  ,n-hexane,177.8,
558,C6H14  ,"2,2-dimethylbutane",174.3,
559,C6H14  ,"2,3-dimethylbutane",145.2,
560,C6H14O ,1-hexanol,225.8,
561,C6H14O   ,4-oxaheptane,158.4,
562,C6H14O   ,isopropyl ether ,187.8,
563,C6H14O2 ,"1,6-hexanediol",314.7,
564,C6H14O2 ,"2,3-dimethyl-2,3-butanediol",316.2,
565,C6H14O3   ,"2,5,8-trioxanonane",209.1,
566,C6H14O6,L-iditol,352.8,
567,C6H14O6 ,D sorbitol,366.5,
568,C6H14O6 ,D mannitol,439.1,
569,C6H14O6 ,dulcitol,460.3,
570,C6H14S ,butyl ethyl sulfide,178.1,
571,C6H14S   ,dipropyl sulfide ,170.4,
572,C6H14S   ,1-hexanethiol,192.6,
573,C6H14S   ,diisopropyl sulfide,195.1,
574,C6H14S2  ,dipropyl disulfide ,187.7,
575,C6N4 ,tetracyanoethylene,472.2,
576,C7F8 ,perfluorotoluene,207.0,
577,C7H3Br2NO ,"3,5-dibromo-4-hydroxybenzonitrile",464.0,
578,C7H3Cl2N ,"2,6-dichlorobenzonitrile",417.2,
579,C7H3Cl3O2 ,"2,3,6-trichlorobenzoic acid",402.7,
580,C7H3F5   ,"2,3,4,5,6-pentafluorotoluene",243.7,
581,C7H3I2NO ,"4-hydroxy-3,5-diiodobenzonitrile",482.9,
582,C7H3I3O2 ,"2,3,5-triiodobenzoic acid",503.8,
583,C7H4Cl2O2 ,"3,5-dichlorobenzoic acid",459.3,
584,C7H4Cl3NO3 ,"3,5,6-trichloro-2-pyridinyloxyacetic acid",423.3,
585,C7H4N2O6 ,"3,5-dinitrobenzoic acid",480.4,
586,C7H5Cl2NO2 ,"3-amino-2,5-dichlorobenzoic acid",475.6,
587,C7H5Cl3 ,benzotrichloride,236.0,
588,C7H5Cl3N2O2 ,"methyl 4-amino-3,5,6-trichloro-2-picolinate",394.3,
589,C7H5ClO2 ,2-chlorobenzoic acid,413.4,
590,C7H5ClO2 ,3-chlorobenzoic acid,427.4,
591,C7H5ClO2 ,4-chlorobenzoic acid,512.9,
592,C7H5F3    ,benzotrifluoride,244.0,
593,C7H5IO2 ,2-iodobenzoic acid,435.1,
594,C7H5IO2 ,3-iodobenzoic acid,460.4,
595,C7H5IO2 ,4-iodobenzoic acid,543.8,
596,C7H5N ,benzonitrile,260.3,
597,C7H5N3O6  ,"2,4,6-trinitrotoluene",352.2,
598,C7H5N3O6  ,"2,4,5-trinitrotoluene",376.2,
599,C7H5N5O8 ,"N-methyl-2,4,6,N-tetranitroaniline",402.6,
600,C7H5NO ,benzoxazole,302.5,
601,C7H5NO4 ,m-nitrobenzoic acid,414.3,
602,C7H5NO4 ,p-nitrobenzoic acid,512.4,
603,C7H5NO4  ,o-nitrobenzoic acid,419.0,
604,C7H5NS    ,benzothiazole,275.6,
605,C7H6N2 ,benzimidazole,443.2,
606,C7H6N2O4 ,"2,4-dinitrotoluene",343.3,
607,C7H6N2O4  ,"2,6-dinitrotoluene",327.5,
608,C7H6N2O4  ,"3,4-dinitrotoluene",329.5,
609,C7H6N2O4  ,"2,3-dinitrotoluene",329.8,
610,C7H6N2O5 ,"2-methyl-4,6-dinitrophenol",359.3,
611,C7H6O  ,benzaldehyde ,216.0,
612,C7H6O2   ,benzoic acid,395.5,
613,C7H6O3 ,4-hydroxybenzoic acid,488.1,
614,C7H6O3 ,2-hydroxybenzoic acid,431.8,
615,C7H6O3 ,3-hydroxybenzoic acid,475.1,
616,C7H7Br ,benzylbromide,271.8,
617,C7H7Br ,4-bromotoluene,301.2,
618,C7H7Cl ,p-chlorotoluene,280.7,
619,C7H7Cl3NO3PS ,"O,O-dimethyl-O-(3,5,6-trichloro-2-pyridyl)phosphorothioate",318.7,
620,C7H7ClN2S ,1-(o-chlorophenyl)thiourea,413.5,
621,C7H7F ,3-fluorotoluene,184.0,
622,C7H7F ,2-fluorotoluene,210.7,
623,C7H7F     ,4-fluorotoluene,216.5,
624,C7H7I ,benzyliodide,299.5,
625,C7H7I ,p-iodotoluene,306.7,
626,C7H7N3O2 ,N-acetyl-pyrazinamide,366.7,
627,C7H7NO ,benzamide,402.3,
628,C7H7NO2 ,4-aminobenzoic acid,461.4,
629,C7H7NO2 ,2-aminobenzoic acid,417.8,
630,C7H7NO2 ,3-aminobenzoic acid,452.9,
631,C7H7NO2 ,3-nitrotoluene,288.7,
632,C7H7NO2   ,4-nitrotoluene,324.8,
633,C7H7NO3 ,2-nitro-5-methylphenol,302.8,
634,C7H7NO3 ,4-nitro-5-methylphenol,401.0,
635,C7H8   ,toluene,178.0,
636,C7H8   ,cycloheptatriene,198.0,
637,C7H8N2O ,phenylurea,420.6,
638,C7H8N4O2 ,theophylline,544.0,
639,C7H8O ,benzyl alcohol,257.6,
640,C7H8O  ,p-hydroxytoluene,307.9,
641,C7H8O  ,m-hydroxytoluene,285.4,
642,C7H8O  ,o-hydroxytoluene,304.2,
643,C7H8O  ,methoxybenzene,293.2,
644,C7H8O2,4-methoxyphenol,328.4,
645,C7H8S     ,methylphenylsulfide,256.4,
646,C7H9N ,m-toluidine,241.7,
647,C7H9N ,"2,4-dimethylpyridine",209.4,
648,C7H9N ,"3,5-dimethylpyridine",266.9,
649,C7H9N ,"2,6-dimethylpyridine",267.1,
650,C7H9N ,p-toluidine,316.5,
651,C7H9N ,"2,3-dimethylpyridine",258.6,
652,C7H9N ,"2,5-dimethylpyridine",259.1,
653,C7H9N ,"3,4-dimethylpyridine",262.7,
654,C7H9N  ,o-toluidine,287.6,
655,C7H9N5O12 ,"2,2,2-trinitroethyl-4,4-dinitropentanoate",366.7,
656,C7H9N5O12 ,"2,2-dintropropyl-4,4,4-trinitrobutyrate",368.2,
657,C7H10N2O2 ,"1,3,6-trimethyluracil",384.5,
658,C7H10O3 ,"3,3-dimethylpentanedioic anhydride",396.2,
659,C7H11N ,cyanocyclohexane,285.1,
660,C7H12 ,4-methylcyclohex-1-ene,153.6,
661,C7H12 ,cycloheptene,217.0,
662,C7H12O2 ,butyl acrylate,209.5,
663,C7H12O4 ,pimilic acid,377.5,
664,C7H12O4S2 ,(d) methylenebisthiopropionic acid,355.0,
665,C7H12O4S2 ,(dl) methylenebisthiopropionic acid,429.0,
666,C7H13N3O3S ,"N,N-dimethyl-2-methylcarbamoyloxyimino-2-(methylthio)acetamide",372.2,
667,C7H13N3O3S ,"N,N-dimethyl-2-methylcarbamoyloxyimino-2-(methylthio)acetamide",372.2,
668,C7H13NO ,z-enantholactam,310.3,
669,C7H14,ethylcyclopentane,134.7,
670,C7H14  ,methylcyclohexane,146.6,
671,C7H14  ,"trans-1,3-dimethylcyclopentane",139.5,
672,C7H14  ,"1,1-dimethylcyclopentane",203.7,
673,C7H14  ,1-heptene,154.3,
674,C7H14  ,cycloheptane,265.1,
675,C7H14  ,"cis-1,2-dimethylcyclopentane",219.4,
676,C7H14N2O2S ,2-methyl-2(methylthio)propionaldehyde O-methylcarbamoyloxime,374.0,
677,C7H14O,2-heptanone,237.7,
678,C7H14O,3-heptanone,236.0,
679,C7H14O,4-heptanone,240.2,
680,C7H14O,diisopropyl ketone,204.8,
681,C7H14O ,heptanal,229.3,
682,C7H14O ,cycloheptanol,280.3,
683,C7H14O ,1-methylcyclohexanol,299.2,
684,C7H14O2 ,heptanoic acid,265.8,
685,C7H14O6,methyl a-D-mannopyranoside,455.2,
686,C7H15Br,1-bromoheptane,214.4,
687,C7H15Cl2N2O2P ,"2-[bis(2-chloroethyl)amino]tetrahydro-2H-1,3,2-oxazophosphorine-2-oxide",322.6,
688,C7H16 ,"2,2,3-trimethylbutane",247.7,
689,C7H16  ,"2,2-dimethylpentane",148.1,
690,C7H16  ,"3,3-dimethylpentane",138.2,
691,C7H16  ,heptane,182.6,
692,C7H16  ,3-ethylpentane,154.6,
693,C7H16  ,2-methylhexane,154.9,
694,C7H16  ,"2,4-dimethylpentane",154.0,
695,C7H16O  ,1-heptanol,240.4,
696,C7H16O2 ,"1,7-heptanediol",295.2,
697,C7H16S    ,1-heptanethiol,229.9,
698,C8Cl4N2 ,"2,4,5,6-tetrachloro-1,3-benzenedicarbonitile",526.2,
699,C8H3NO5 ,4-nitrophthalic anhydride,388.2,
700,C8H3NO5 ,3-nitrophthalic anhydride,436.2,
701,C8H4Cl2O2 ,terephthalyl dichloride,356.1,
702,C8H4N2 ,"1,2-dicyanobenzene",414.1,
703,C8H4O3 ,phthalic anhydride,403.3,
704,C8H5Br3,"2,4,5-tribromostyrene",340.3,
705,C8H5Cl3O2 ,"2,3,6-trichlorophenylacetic acid",432.3,
706,C8H5Cl3O3 ,"(2,4,5-trichlorophenoxy)acetic acid",431.2,
707,C8H6 ,phenylacetylene,228.0,
708,C8H6Cl2O3 ,"3,6-dichloro-2-methoxybenzoic acid",386.7,
709,C8H6Cl2O3 ,"3,4-dichloro-2-methoxybenzoic acid",412.5,
710,C8H6Cl2O3 ,"(2,4-dichlorophenoxy)acetic acid",412.5,
711,C8H6Cl2O4 ,"3,6-dichloro-5-hydroxy-2-methoxybenzoic acid",409.8,
712,C8H6Cl4 ,tetrachloro-p-xylene,368.2,
713,C8H6Cl4 ,tetrachloro-o-xylene,359.2,
714,C8H6Cl4O4 ,methyl tetrachloroterephthalic acid ester,444.3,
715,C8H6N2 ,quinoxaline,305.7,
716,C8H6N2 ,quinazoline ,320.9,
717,C8H6N2 ,phthalazine ,364.5,
718,C8H6S     ,benzothiophene,304.5,
719,C8H7Cl2NO,"methyl-3,4-dichlorophenylcarbamate",381.4,
720,C8H7ClO3 ,(dl) o-chloromandelic acid,358.5,
721,C8H7ClO3 ,(d) o-chloromandelic acid,392.5,
722,C8H7ClO3 ,(d) p-chloromandelic acid,394.0,
723,C8H7ClO3 ,(dl) p-chloromandelic acid,394.0,
724,C8H7ClO3 ,4-chlorophenoxyacetic acid,429.6,
725,C8H7FO3 ,(d) o-fluoromandelic acid,363.0,
726,C8H7FO3 ,(dl) m-fluoromandelic acid,370.0,
727,C8H7FO3 ,(dl) o-fluoromandelic acid,390.0,
728,C8H7FO3 ,(d) m-fluoromandelic acid,394.0,
729,C8H7FO3 ,(dl) p-fluoromandelic acid,403.0,
730,C8H7FO3 ,(d) p-fluoromandelic acid,426.0,
731,C8H7N3O6 ,"2,4,6-trinitro-1,3-dimethylbenzene",455.4,
732,C8H7N5O8  ,"2,4,6-N-tetranitroethylaniline",369.0,
733,C8H7N5O8  ,"2,4,6,N-tetranitro-N-methyltoluidene ",375.6,
734,C8H8   ,cyclooctatetraene,268.5,
735,C8H8   ,styrene,242.3,
736,C8H8Br2 ,"a,a'-dibromo-m-xylene",350.2,
737,C8H8Br2 ,"a,a'-dibromo-o-xylene",368.2,
738,C8H8BrCl2O3PS ,"O-(4-bromo-2,5-dichlorophenyl) O,O-dimethyl phosphorothioate",325.3,
739,C8H8Cl2 ,"a,a'-dichloro-m-xylene",307.2,
740,C8H8Cl2 ,"a,a'-dichloro-o-xylene",328.2,
741,C8H8Cl2 ,"a,a'-dichloro-p-xylene",373.2,
742,C8H8Cl2O2 ,"1,4-dichloro-2,5-dimethoxybenzene",403.9,
743,C8H8Cl2O3 ,"methyl 3,6-dichloro-2-methoxybenzoate",304.6,
744,C8H8Cl3O3PS ,"O,O-dimethyl O-(2,4,5-trichlorophenyl) phosphorothioate ",313.0,
745,C8H8ClNO2 ,N-methyl-2-chlorophenylcarbamic acid ester,362.7,
746,C8H8O2 ,methyl benzoate,261.0,
747,C8H8O2 ,phenylacetic acid,349.9,
748,C8H8O2  ,o-toluic acid,376.9,
749,C8H8O2  ,m-toluic acid,381.9,
750,C8H8O2  ,p-toluic acid,452.8,
751,C8H8O2S ,phenyl vinyl sulfone,343.4,
752,C8H8O3 ,(dl) mandelic acid,392.0,
753,C8H8O3 ,4-hydroxyphenylacetic acid,423.6,
754,C8H8O3 ,(d) mandelic acid,406.0,
755,C8H8O3 ,methyl 4-hydroxybenzoate,398.5,
756,C8H8O3 ,4-methoxybenzoic acid,457.8,
757,C8H9ClNO5PS ,"O-(2-chloro-4-nitrophenyl) O,O-dimethyl phosphorothioate",323.9,
758,C8H9ClO3 ,(4-chloro-2-methylphenoxy)acetic acid,392.9,
759,C8H9NO ,3-aminoacetophenone,371.2,
760,C8H9NO ,4-aminoacetophenone,379.2,
761,C8H9NO    ,acetanilide,387.5,
762,C8H9NO2 ,methyl 4-aminobenzoate,385.1,
763,C8H9NO2  ,o-hydroxyacetanilide   ,364.5,
764,C8H9NO2   ,p-hydroxyacetanilide,441.2,
765,C8H9NO2   ,methyl N-phenylcarbamate    ,325.0,
766,C8H9O3PS ,"2-methoxy-4H-1,3,2-benzodioxaphosphorin 2-sulfide",327.9,
767,C8H10  ,ethylbenzene,178.2,
768,C8H10  ,m-xylene,225.3,
769,C8H10  ,o-xylene,247.8,
770,C8H10  ,p-xylene,286.3,
771,C8H10N4O2 ,caffeine,512.0,
772,C8H10NO5PS ,"O,O-dimethyl O-4-nitrophenyl phosphorothioate",308.2,
773,C8H10O ,"2,6-dimethylphenol",318.9,
774,C8H10O ,"3,5-dimethylphenol",336.8,
775,C8H10O ,"3,4-dimethylphenol",334.0,
776,C8H10O ,"2,3-dimethylphenol",346.0,
777,C8H10O ,"2,5-dimethylphenol",348.0,
778,C8H10O2S ,benzylmethylsulfone,400.5,
779,C8H10O4,"trans,cis-2,6-octadiene-1,8-dioic acid",380.0,
780,C8H10O4,"trans,trans-2,6-octadiene-1,8-dioic acid",541.0,
781,C8H11N ,"2,4,6-trimethylpyridine",229.0,
782,C8H11N ,"2,5-dimethylaniline",279.0,
783,C8H11N ,"N,N-dimethylaniline",275.6,
784,C8H11N5 ,"6,8,9-trimethyladenine",438.0,
785,C8H11N5O2 ,2-amino-9-[(2-hydroxyethoxy)methyl]-9H-purine,462.2,
786,C8H11N5O3 ,"2-amino-9-[(2-hydroxyethoxy)methyl]-1,9-dihydro-6H-purin-6-one",528.2,
787,C8H12  ,"cycloocta-1,5-diene",204.0,
788,C8H12N2 ,tetramethylsuccinonitrile,442.0,
789,C8H12N2O3 ,barbital,462.6,
790,C8H12N4O10 ,"2-methyl-2-nitropropyl-4,4,4-trinitrobutyrate",349.4,
791,C8H12N4O10 ,"2,2-dinitropropyl-4,4-dinitropentanoate",370.8,
792,C8H12NO5PS2 ,"O,O-dimethyl O-(4-aminosulfonylphenyl)phosphorothioate ",344.2,
793,C8H12O2 ,"1,5-cyclooctanedione ",341.2,
794,C8H14 ,cyclooctene,259.2,
795,C8H14N4OS ,"4-amino-6-(1,1-dimethylethyl)-3-(methylthio)1,2,4-triazin-5(4H)-one",399.4,
796,C8H14N6O10 ,"1,7-diacetoxy-2,4,6-trinitro-2,4,6-triazaheptane",422.5,
797,C8H14O4 ,suberic acid,415.3,
798,C8H14O4 ,tetramethysuccinic acid,464.0,
799,C8H15NO2 ,dimethylaminoethyl methacrylate,237.7,
800,C8H16  ,propylcyclopentane,155.8,
801,C8H16  ,ethylcyclohexane,161.4,
802,C8H16  ,1-octene,171.5,
803,C8H16  ,"trans-1,3-dimethylcyclohexane",183.1,
804,C8H16  ,"trans-1,2-dimethylcyclohexane",185.0,
805,C8H16  ,"cis-1,4-dimethylcyclohexane",185.7,
806,C8H16  ,"2,4,4-trimethyl-2-pentene",166.0,
807,C8H16  ,"1,1-dimethylcyclohexane",239.8,
808,C8H16  ,"cis-1,3-dimethylcyclohexane",197.6,
809,C8H16  ,"2,4,4-trimethyl-1-pentene",178.9,
810,C8H16  ,"cis-1,2-dimethylcyclohexane",223.3,
811,C8H16  ,cyclooctane,288.0,
812,C8H16  ,"trans-1,4-dimethylcyclohexane",236.2,
813,C8H16N2O2,N-acetyl-L-isoleucinamide,529.6,
814,C8H16N2O2 ,N-acetyl-D-leucine amide,404.0,
815,C8H16O,cyclooctanol,295.0,
816,C8H16O ,2-octanone,252.9,
817,C8H16O ,octanal,288.2,
818,C8H16O2,octanoic acid,289.7,
819,C8H16O2 ,butyl butanoate,181.7,
820,C8H16O2 ,hexyl ethanoate,212.1,
821,C8H16O2 ,"2,2,6,6-tetramethyl-1,3-dioxane",250.6,
822,C8H17Br,1-bromooctane,218.2,
823,C8H18 ,4-methylheptane,152.2,
824,C8H18 ,"2,2,3,3-tetramethylbutane",373.9,
825,C8H18  ,3-methylheptane,152.6,
826,C8H18  ,2-methylheptane,164.2,
827,C8H18  ,"2,2,4-trimethylpentane",165.3,
828,C8H18  ,"2,2,4-trimethylpentane",165.8,
829,C8H18  ,n-octane,216.4,
830,C8H18  ,"2,3,4-trimethylpentane",163.6,
831,C8H18N2O2 ,bis-hydroxyethylpiperazine,405.0,
832,C8H18N4O4 ,"N,N'-dimethyl-N,N'dinitro-1,6-hexanediamine",331.0,
833,C8H18O2 ,"1,8-octanediol",332.8,
834,C8H18O4,"1,2,7,8-tetrahydroxyoctane",352.2,
835,C8H18O4   ,"2,5,8,11-tetraoxadodecane",229.3,
836,C8H18S   ,1-octanethiol ,224.0,
837,C8H18S    ,di-n-butyl sulfide,198.1,
838,C9H4Cl3NO2S ,"2-[(trichloromethyl)thio]-1H-isoindole-1,3(2H)-dione",454.2,
839,C9H4Cl4O4   ,methyl tetrachloroterephthalic acid ester,444.3,
840,C9H4Cl8O ,"1,2,4,5,6,7,8,8-octachloro-2,3,3a,4,7,7a-hexahydro-4,7-methano-isobenzofuran",395.4,
841,C9H4O5,"trimellitic anhydride(1,2,4-benzenetricarboxylic acid)",438.2,
842,C9H5Cl3N4,"4,6-dichloro-N-(2-chlorophenyl)-1,3,5-triazin-2-amine",431.0,
843,C9H6Cl2N2O3 ,"2-(3,4-dichlorophenyl)-4-methyl-1,2,4-oxadiazolidine-3,5-dione",396.3,
844,C9H6O2 ,coumarin,342.1,
845,C9H6O2 ,chromone,330.3,
846,C9H7Cl3O3 ,"methyl 2-(2,4,5-trichlorophenoxy)acetate",361.9,
847,C9H7Cl3O3 ,"2-(2,4,5-trichlorophenoxy)propanoic acid",450.6,
848,C9H7N ,quinoline,258.4,
849,C9H7N ,isoquinoline,299.6,
850,C9H7N3S ,"5-methyl-1,2,4-triazolo[3,4-b]benzothiazole",460.2,
851,C9H8  ,indene,271.7,
852,C9H8Cl2O3 ,"methyl 3,6-dichloro-2-methoxybenzoate",304.6,
853,C9H8Cl2O3 ,"methyl 2,4-dichlorophenoxyacetate ",315.4,
854,C9H8Cl2O3 ,"2-(2,4-dichlorophenoxy)propanoic acid",389.2,
855,C9H8O2 ,cinnamic acid,406.2,
856,C9H8O4,4-acetoxybenzoic acid,467.2,
857,C9H9BrO3 ,(dl) 3-(m-bromophenyl)-3-hydroxypropanoic acid,349.0,
858,C9H9BrO3 ,(d) 3-(m-bromophenyl)-3-hydroxypropanoic acid,350.0,
859,C9H9BrO3 ,(dl) 3-(p-bromophenyl)-3-hydroxypropanoic acid,371.0,
860,C9H9BrO3 ,(d) 3-(p-bromophenyl)-3-hydroxypropanoic acid,398.0,
861,C9H9BrO3 ,(d) 2-(p-bromophenoxy)propanoic acid,380.0,
862,C9H9BrO3 ,(dl) 2-(p-bromophenoxy)propanoic acid,385.0,
863,C9H9Cl2NO ,"3',4'-dichloropropionanilide",363.7,
864,C9H9ClO3 ,(dl) 3-(m-chlorophenyl)-3-hydroxypropanoic acid,340.0,
865,C9H9ClO3 ,(dl) 3-(p-chlorophenyl)-3-hydroxypropanoic acid,357.0,
866,C9H9ClO3 ,(d) 3-(m-chlorophenyl)-3-hydroxypropanoic acid,368.0,
867,C9H9ClO3 ,(d) 3-(p-chlorophenyl)-3-hydroxypropanoic acid,385.0,
868,C9H9ClO3 ,(d) 2-(m-chlorophenoxy)propanoic acid,367.5,
869,C9H9ClO3 ,(d) 2-(o-chlorophenoxy)propanoic acid,369.0,
870,C9H9ClO3 ,(4-chloro-o-tolyloxy)acetic acid,392.9,
871,C9H9ClO3 ,(dl) 2-(m-chlorophenoxy)propanoic acid,386.0,
872,C9H9ClO3 ,(dl) 2-(o-chlorophenoxy)propanoic acid,388.0,
873,C9H9FO3 ,(dl) 3-(m-fluorophenyl)-3-hydroxypropanoic acid,290.0,
874,C9H9FO3 ,(d) 3-(m-fluorophenyl)-3-hydroxypropanoic acid,311.0,
875,C9H9FO3 ,(dl) 3-(o-fluorophenyl)-3-hydroxypropanoic acid,342.0,
876,C9H9FO3 ,(d) 3-(o-fluorophenyl)-3-hydroxypropanoic acid,348.0,
877,C9H9FO3 ,(dl) 3-(p-fluorophenyl)-3-hydroxypropanoic acid,362.0,
878,C9H9FO3 ,(d) 3-(p-fluorophenyl)-3-hydroxypropanoic acid,381.0,
879,C9H9NO4 ,[(benzoylamino)oxy] acetic acid,416.9,
880,C9H9NO5 ,(d) 2-(p-nitrophenoxy)propanoic acid,362.0,
881,C9H9NO5 ,(dl) 2-(p-nitrophenoxy)propanoic acid,411.4,
882,C9H10 ,a-methylstyrene,250.8,
883,C9H10BrClN2O2 ,3-(4-bromo-3-chlorophenyl)-1-methoxy-1-methylurea,369.8,
884,C9H10Cl2N2O ,"3-(3,4-dichlorophenyl)-1,1-dimethylurea",429.7,
885,C9H10Cl2N2O2 ,"N'-(3,4-dichlorophenyl)-N-methoxy-N-methylurea",365.8,
886,C9H10O ,chroman,269.8,
887,C9H10O ,isochroman,277.5,
888,C9H10O ,cinnamyl alcohol,308.2,
889,C9H10O2,"3,5-dimethylbenzoic acid",442.9,
890,C9H10O2,"2,3-dimethylbenzoic acid",417.6,
891,C9H10O2 ,phenyl glycidyl ether,279.8,
892,C9H10O2 ,hydrocinnamic acid,321.2,
893,C9H10O2 ,4-ethylbenzoic acid,386.2,
894,C9H10O2S ,tolyl vinyl sulfone,340.4,
895,C9H10O3 ,(dl) 3-phenyl-3-hydroxypropanoic acid,366.0,
896,C9H10O3 ,(d) 2-phenoxypropionic acid,359.0,
897,C9H10O3 ,4-hydroxyphenylpropionic acid,402.5,
898,C9H10O3 ,(d) 3-phenyl-3-hydroxypropanoic acid,391.0,
899,C9H10O3 ,(dl) 2-phenoxypropionic acid,388.0,
900,C9H10O3 ,4-methoxyphenylacetic acid,358.1,
901,C9H10O3 ,4-ethoxybenzoic acid,472.8,
902,C9H11BrN2O ,N'-(4-bromophenyl)-N-methoxy-N-methylurea,368.3,
903,C9H11Cl3NO3PS ,"O,O-diethyl-O-(3,5,6-trichloro-2-pyridyl)phosphorothioate",315.0,
904,C9H11Cl3NO4P ,"O,O-diethyl-O-(3,5,6-trichloro-2-pyridyl) phosphate",312.5,
905,C9H11ClN2O ,"3-(4-chlorophenyl)-1,1-dimethylurea",447.6,
906,C9H11ClN2O2 ,N'-(4-chlorophenyl)-N-methoxy-N-methylurea,353.4,
907,C9H11N ,"5,6,7,8-tetrahydroquinoline",222.7,
908,C9H11N ,"1,2,3,4-tetrahydroquinoline",290.0,
909,C9H11NO2 ,ethyl 4-aminobenzoate,362.8,
910,C9H11NO2  ,ethyl phenyl carbamate,326.0,
911,C9H11NO2   ,p-methoxyacetanilide,400.3,
912,C9H12  ,"1,3,5-trimethylbenzene",228.4,
913,C9H12  ,n-propylbenzene,173.6,
914,C9H12  ,isopropylbenzene,177.1,
915,C9H12  ,"1,2,3-trimethylbenzene",247.8,
916,C9H12  ,"1,2,4-trimethylbenzene",229.3,
917,C9H12N2O ,"1,1-dimethyl-3-phenylurea",404.8,
918,C9H13BrN2O2 ,"5-bromo-6-methyl-3-(1-methylpropyl)-2,4(1H,3H)-pyrimidinedione",428.3,
919,C9H13ClN2O2 ,"5-chloro-3-(1,1-dimethylethyl)-6-methyl-2,4(1H,3H)-pyrimidinedione",448.0,
920,C9H13ClN6 ,"2-[[4-chloro-6-(ethylamino)-1,3,5-triazin-2-yl]amino]-2-methylpropanenitrile ",437.9,
921,C9H14O6 ,glyceryl triacetate,275.3,
922,C9H15N3O3,N-acetyl-L-prolyl-glycinamide,434.1,
923,C9H15N3O3,N-acetylglycyl-L-prolinamide,457.8,
924,C9H15N3O8 ,"neopentyl-4,4,4-trinitrobutyrate",333.5,
925,C9H16N4OS ,"N-[5-(1,1-dimethylethyl)-1,3,4-thiadiazol-2-yl]-N,N'-dimethylurea",435.3,
