Id,Formula,Name,Melting_Pt,
117,C3H4N2 ,pyrazole,343.2,
118,C3H4N2 ,imidazole,361.9,
119,C3H4N2O ,cyanoacetamide,387.3,
120,C3H4N4O6,"1,3,3-trinitroazetidine",375.5,
121,C3H4O2 ,acrylic acid,285.5,
122,C3H4O2  ,ß-propiolactone,239.9,
123,C3H4O3   ,ethylene carbonate,309.5,
124,C3H5Br3 ,"1,2,3-tribromopropane",289.4,
125,C3H5N    ,propionitrile,180.4,
126,C3H5N3O9 ,trinitroglycerine,285.5,
127,C3H5NO ,acrylamide,358.0,
128,C3H6  ,cyclopropane,145.6,
129,C3H6  ,propene,88.2,
130,C3H6Br2 ,"1,3-dibromopropane",238.6,
131,C3H6Cl2 ,"1,2-dichloropropane",172.7,
132,C3H6Cl2  ,"2,2-dichloropropane ",239.3,
133,C3H6ClNO2 ,2-chloro-2-nitropropane,261.6,
134,C3H6N2O2 ,malonamide,443.0,
135,C3H6N2O4 ,"2,2-dinitropropane",324.5,
136,C3H6N2O5,"2,2-dinitropropanol",366.7,
137,C3H6N2O7,"2,2-dinitro-1,3-propanediol",341.2,
138,C3H6N4 ,"2,5-dimethyltetrazole",256.4,
139,C3H6N4 ,"1,5-dimethyltetrazole",349.0,
140,C3H6N4O4 ,"1,3-dinitro-1,3-diazacyclopentane",410.0,
141,C3H6N6O3 ,"1,3,5-trinitroso-1,3,5-triazacyclohexane",376.0,
142,C3H6N6O5 ,"1,3-dinitro-5-nitroso-1,3,5-triazacyclohexane",446.0,
143,C3H6N6O6 ,"1,3,5-trinitro-1,3,5-triazacyclohexane",478.2,
144,C3H6O ,acetone,176.6,
145,C3H6O ,propanal,171.3,
146,C3H6O    ,propylene oxide,161.3,
147,C3H6O2 ,"1,3-dioxolane",175.9,
148,C3H6O2 ,methyl acetate,174.9,
149,C3H6O2 ,propionic acid,252.7,
150,C3H6O2S ,ß-thiolactic acid ,291.9,
151,C3H6O3 ,DL lactic acid,289.9,
152,C3H6O3 ,"1,3,5-trioxane",333.4,
153,C3H6O3 ,"1,3,5-trioxane",333.4,
154,C3H6S    ,thiacyclobutane,199.9,
155,C3H7Br ,2-bromopropane,184.1,
156,C3H7Cl ,2-chloropropane,156.0,
157,C3H7N,cyclopropylamine,237.8,
158,C3H7NO ,N-methylacetamide,303.8,
159,C3H7NO ,"N,N-dimethylformamide",212.9,
160,C3H7NO2 ,ethyl carbamate,321.9,
161,C3H7NO3 ,isopropyl nitrate,190.9,
162,C3H8  ,propane,85.5,
163,C3H8N2O ,N-ethylurea,365.1,
164,C3H8N2O ,"1,3-dimethylurea",381.0,
165,C3H8N2O ,"1,1-dimethylurea",454.0,
166,C3H8O   ,1-propanol,148.8,
167,C3H8O   ,2-propanol,185.2,
168,C3H8O2 ,dimethoxymethane,168.0,
169,C3H8O3  ,"1,2,3-trihydroxypropane",293.0,
170,C3H8S ,2-propanethiol,142.6,
171,C3H8S   ,1-propanethiol,160.0,
172,C3H8S    ,ethyl methyl sulfide,167.2,
173,C3H8SO2 ,ethylmethylsulfone,307.7,
174,C3H9N    ,1-aminopropane,188.4,
175,C3H9N    ,2-aminopropane,178.0,
176,C3H9N    ,trimethylamine,156.1,
177,C3H10N2 ,"1,2-diaminopropane",236.5,
178,C3H10N2 ,trimethylhydrazine,201.2,
179,C4F8S,octafluorotetrahydrothiophene,266.7,
180,C4H2O3   ,maleic anhydride    ,325.7,
181,C4H3BrS ,2-bromothiophene ,203.9,
182,C4H3ClS ,2-chlorothiophene,201.3,
183,C4H3F5O3 ,"a-(trifluoromethoxy)-a,a-difluoromethyl acetate",167.4,
184,C4H4N2 ,pyrazine,328.2,
185,C4H4N2   ,succinonitrile,331.2,
186,C4H4N4O2 ,"N-nitro-bis(N,N-cyanomethyl) amine",367.0,
187,C4H4O    ,furan      ,187.6,
188,C4H4O4 ,ethylene oxalate,415.0,
189,C4H4O4   ,"1,4-dioxane-2,5-dione ",356.2,
190,C4H4S    ,thiophene,235.2,
191,C4H5ClO2 ,cis-3-chloro-2-butenoic acid,333.7,
192,C4H5ClO2 ,E-3-chloro-2-butenoic acid,333.7,
193,C4H5ClO2 ,Z-3-chloro-2-butenoic acid,366.8,
194,C4H5N    ,pyrrole ,249.7,
195,C4H5NO2 ,succinimide,400.0,
196,C4H5NS ,4-methylthiazole,229.1,
197,C4H5NS ,5-methylthiazole,232.8,
198,C4H5NS ,2-methylthiazole,248.6,
199,C4H6 ,1-butyne,147.4,
200,C4H6 ,"1,2-butadiene",136.9,
201,C4H6 ,"1,3-butadiene",164.2,
202,C4H6  ,2-butyne,240.9,
203,C4H6N6O8 ,"1,3,5,5-tetranitro-1,3-diazacyclohexane",430.0,
204,C4H6O2,vinyl acetate,180.6,
205,C4H6O2 ,methyl acrylate,197.5,
206,C4H6O2 ,a-methylacrylic acid,287.5,
207,C4H6O2 ,cis-crotonic acid,344.4,
208,C4H6O3,p-dioxanone,301.7,
209,C4H6O3 ,propylene carbonate,218.2,
210,C4H6O4 ,dimethyl oxalate,327.6,
211,C4H6O4 ,succinic acid,457.0,
212,C4H6O5 ,(d) malic acid,376.0,
213,C4H6O5 ,(dl) malic acid II,396.0,
214,C4H6O5 ,(dl) malic acid I,402.0,
215,C4H7NO ,2-pyrrolidone,299.0,
216,C4H7NO ,methacrylamide,385.1,
217,C4H8  ,cyclobutane,182.4,
218,C4H8  ,cis-2-butene,134.3,
219,C4H8  ,1-butene,87.8,
220,C4H8  ,isobutene,132.4,
221,C4H8  ,trans-2-butene,167.6,
222,C4H8Br2O2 ,"(dl) 2,3-dibromo-1,4-butanediol",363.2,
223,C4H8Br2O2 ,"(d) 2,3-dibromo-1,4-butanediol",388.2,
224,C4H8Cl2O ,"1,5-dichloro-3-oxapentane",226.5,
225,C4H8Cl3O4P ,"dimethyl (2,2,2-trichloro-1-hydroxyethyl)phosphonate",384.0,
226,C4H8N2O2 ,N-acetylglycine amide,408.2,
227,C4H8N4O4 ,"1,3-dinitro-1,3-diazacyclohexane",354.0,
228,C4H8N6O5 ,"1,5-dinitro-3-nitroso-1,3,5-triazacycloheptane",440.0,
229,C4H8O ,2-butanone ,186.5,
230,C4H8O    ,tetrahydrofuran  ,164.8,
231,C4H8O    ,butanal ,176.8,
232,C4H8O2 ,"1,4-dioxane",284.1,
233,C4H8O2  ,butanoic acid,264.7,
234,C4H8O2   ,ethyl acetate,189.3,
235,C4H8O4 ,"1,3,5,7-tetroxane",385.0,
236,C4H8S    ,thiacyclopentane,177.0,
237,C4H8S2 ,"1,3-dithiane",327.2,
238,C4H8S2 ,"1,4-dithiane",384.6,
239,C4H9Br ,1-bromobutane,160.4,
240,C4H9Br ,2-bromobutane,160.3,
241,C4H9Br ,tert-butyl bromide,256.1,
242,C4H9Cl   ,tert-butyl chloride,248.1,
243,C4H9N    ,pyrrolidine,215.3,
244,C4H9NO2 ,"2-amino-2-methyl-1,3-propanediol",383.6,
245,C4H9NO2 ,2-amino-2-methylpropanediol,384.1,
246,C4H9NO3 ,2-methyl-2-nitro-1-propanol,361.0,
247,C4H9NO4 ,"2-methyl-2-nitro-1,3-propandiol",424.0,
248,C4H10,isobutane,113.7,
249,C4H10  ,butane,134.9,
250,C4H10N2O ,N-isopropylurea,280.8,
251,C4H10N2O ,N-propylurea,381.0,
252,C4H10N2O ,"1,1,3-trimethylurea",344.4,
253,C4H10N4O4 ,"N,N'-dimethyl-N,N'dinitro-1,2-ethanediamine",410.0,
254,C4H10O ,methyl propyl ether,134.0,
255,C4H10O  ,butyl alcohol,183.9,
256,C4H10O  ,isobutyl alcohol,171.2,
257,C4H10O  ,2-methyl-1-propanol,171.2,
258,C4H10O  ,(+)2-butanol,177.4,
259,C4H10O  ,2-butanol,184.7,
